SID,Network,Name,Elevation,State,Lon,Lat,SPI,alpha_ref,beta_ref
"505519",Coop,COLD BAY AIRPORT,"72",AK,-162.732300000000009,55.220680000000002,-0.262983713593721,0.019635351691385,0.392549861550275
"504812",Coop,SITKA AIRPORT,"20",AK,-135.367030000000000,57.047460000000001,0.529167344114372,0.030678950340829,1.257885249874063
"504812",Coop,SAINT PAUL ISLAND AIRPORT,"26",AK,-170.222720000000010,57.155050000000003,0.771879984915920,0.035925703504314,0.523516618212981
"504812",Coop,PELICAN,"12",AK,-136.221300000000014,57.957700000000003,0.118669198744263,0.046362872629229,2.899594068667616
"504812",Coop,HOONAH,"130",AK,-135.427699999999987,58.107100000000003,0.706115123237775,0.028790434271174,0.759374350554664
"509941",Coop,ELFIN COVE,"20",AK,-136.343510000000009,58.191600000000001,1.060047928374242,0.024252465074474,1.062548235336718
"509941",Coop,JUNEAU AIRPORT,"19",AK,-134.556060000000002,58.353999999999999,0.846031836111344,0.028039520056579,1.068597398129445
"502177",Coop,HOMER AIRPORT,"63",AK,-151.490980000000008,59.641959999999997,0.576525924401214,0.038773442222317,0.496171853681030
"502177",Coop,ILIAMNA AIRPORT,"152",AK,-154.909030000000001,59.749220000000001,1.257750807594226,0.040278453161235,0.909863870296026
"502177",Coop,SEWARD,"110",AK,-149.443890000000010,60.103890000000000,0.460612326204958,0.070212797882689,2.184286753213573
"500280",Coop,KENAI AIRPORT,"99",AK,-151.241520000000008,60.579090000000001,-0.630703106294349,0.053783989232443,0.767846176471962
"500280",Coop,BETHEL AIRPORT,"107",AK,-161.829319999999996,60.784970000000001,1.078795216252073,0.028542113199069,0.501515066327917
"500280",Coop,ALYESKA,"272",AK,-149.110790000000009,60.958300000000001,0.683112739475342,0.048623760119290,1.373652310265784
"500770",Coop,GULKANA AIRPORT,"1578",AK,-145.458850000000012,62.159140000000001,-0.706490712302284,0.042832397646916,0.422518018182663
"500770",Coop,TALKEETNA AIRPORT,"350",AK,-150.097440000000006,62.319780000000002,1.087663163580688,0.035746659636174,0.830315653445682
"500770",Coop,NORTHWAY AIRPORT,"1716",AK,-141.938340000000011,62.961480000000002,-3.261335567442391,0.117205826835988,1.318613684964725
"500770",Coop,MCGRATH AP,"331",AK,-155.610090000000014,62.957400000000000,1.707496035721435,0.048821134521210,0.761199608202038
"502607",Coop,NOME AIRPORT,"18",AK,-165.440020000000004,64.511120000000005,1.859182907717162,0.066957199709017,1.088736026609037
"502607",Coop,NENANA MUN AP,"358",AK,-149.096120000000013,64.546109999999999,0.864937385316079,0.053832791186126,0.676978783176983
"509014",Coop,NORTH POLE,"475",AK,-147.325299999999999,64.758099999999999,0.941187250428174,0.071760235508606,0.969916983868958
"509014",Coop,FAIRBANKS INTL AP,"430",AK,-147.876049999999992,64.803089999999997,1.111599110149768,0.061385664428078,0.707739435120004
"509014",Coop,COLLEGE OBSERVATORY,"597",AK,-147.848399999999998,64.860299999999995,1.099613775293427,0.045773021460932,0.602741955824149
"509014",Coop,GILMORE CREEK,"945",AK,-147.521099999999990,64.976600000000005,1.159322199907893,0.056225598371498,0.894505393210617
"500558",Coop,KOTZEBUE AIRPORT,"11",AK,-162.606799999999993,66.885689999999997,1.436378691024672,0.055766465571615,0.596810653542097
"500558",Coop,BETTLES AIRPORT,"645",AK,-151.518920000000008,66.917640000000006,1.210580447692866,0.046761852286949,0.670527713370794
"505464",Coop,BARROW AIRPORT,"27",AK,-156.739380000000011,71.287030000000001,0.557272888237856,0.062348811909212,0.361574132624269
"505778",Coop,EAGLE RIVER 5 SE,"498",AK,-149.439899999999994,61.296799999999998,-1.250594012092712,0.085256355097376,0.794721777123989
"505778",Coop,HAINES 40NW,"820",AK,-136.361500000000007,59.450299999999999,-0.310469985823645,0.062543854440438,0.945362147616776
"505778",Coop,GUSTAVUS,"40",AK,-135.708889999999997,58.411099999999998,-0.232957907609504,0.037379404077792,1.129164078633948
"506727",Coop,SKAGWAY AIRPORT,"24",AK,-135.327679999999987,59.453830000000004,0.371507339441494,0.046369117187596,0.604842290034519
"507233",Coop,HAINES AIRPORT,"21",AK,-135.511380000000003,59.242870000000003,0.083562345596178,0.118578315377391,2.078966005576526
"507233",Coop,KING SALMON AIRPORT,"66",AK,-156.656340000000000,58.682940000000002,-0.116451971289865,0.019358225172482,0.338175154622676
"507233",Coop,KODIAK AIRPORT,"16",AK,-152.488100000000003,57.750709999999998,-0.491921613408836,0.060277687575542,1.910962710603627
USS0044Q07S,Coop,DUTCH HARBOR,"10",AK,-166.543299999999988,53.895000000000003,-1.635119478481464,0.099032436100737,1.629911875121839
USS0044Q07S,Coop,KETCHIKAN AIRPORT,"84",AK,-131.721949999999993,55.358600000000003,-1.236522081826354,0.064897457211001,3.892214753076270
USS0046Q01S,GHCN,GRANITE CRK,"1240",AK,-145.399990000000003,63.939999999999998,-0.344487314377612,0.053268962285167,0.608717282115379
USS0046Q01S,GHCN,MONUMENT CREEK,"1850",AK,-145.870000000000005,65.079999999999998,1.047833051700416,0.034815807312421,0.702415324504837
USS0049L10S,GHCN,MONAHAN FLAT,"2710",AK,-147.649990000000003,63.310000000000002,0.773007181743671,0.026760710909322,0.539895880289024
USS0049L10S,GHCN,SAGWON,"1000",AK,-148.689999999999998,69.420000000000002,1.303249174061837,0.086192184456140,0.763581726876031
USS0049L10S,GHCN,MT. ALYESKA,"1540",AK,-149.090000000000003,60.960000000000001,0.750999509734566,0.052410380095709,1.695186438666181
USS0049L10S,GHCN,GRANDVIEW,"1100",AK,-149.060000000000002,60.609999999999999,-0.104185457742096,0.105332040990430,2.751921000016847
USS0049T03S,GHCN,TURNAGAIN PASS,"1880",AK,-149.179990000000004,60.780000000000001,0.357122680233515,0.083831297805345,2.135492284539301
USS0049T03S,GHCN,GROUSE CREEK DIVIDE,"700",AK,-149.340000000000003,60.259999999999998,0.282663223460408,0.078236432876738,1.984715087176326
USS0049T03S,GHCN,SUMMIT CREEK,"1400",AK,-149.530000000000001,60.619999999999997,0.504591737685852,0.050874598194818,0.919400373074973
USS0049T03S,GHCN,INDIAN PASS,"2350",AK,-149.479999999999990,61.070000000000000,1.642142954615862,0.041284942449938,1.235534690525503
USS0049T03S,GHCN,IMNAVIAT CREEK,"3050",AK,-149.300000000000011,68.620000000000005,0.044149892966026,0.048368607382850,0.737048361678147
USS0051R01S,GHCN,MIDDLE FORK BRADLEY,"2300",AK,-150.759989999999988,59.780000000000001,0.972160246240981,0.066687584175027,1.459819317183387
USS0051R01S,GHCN,NUKA GLACIER,"1250",AK,-150.710010000000011,59.700000000000003,0.613148477844635,0.057392849062678,2.485874561142850
USS0051R01S,GHCN,KENAI MOOSE PENS,"300",AK,-150.479999999999990,60.729999999999997,0.828388617191656,0.057268233247256,0.829356611745838
USS0051R01S,GHCN,SUSITNA VALLEY HIGH,"375",AK,-150.039989999999989,62.130000000000003,0.974223524808629,0.038076500360874,0.822047894996536
"013511",Coop,MUSCLE SHOALS AP,"544",AL,-87.599710000000002,34.743879999999997,0.521813282219130,0.051056993739833,1.239743234809122
"013511",Coop,CLANTON,"590",AL,-86.604470000000006,32.815970000000000,0.836533280246601,0.081083547344564,2.016368592624239
"013511",Coop,GAINESVILLE LOCK,"125",AL,-88.134100000000004,32.834699999999998,-0.994943519541008,0.050799634948431,1.260643895638133
"013511",Coop,FAIRHOPE 2 NE,"23",AL,-87.880700000000004,30.546800000000001,0.104091528874168,0.040788525609135,1.809467201978007
"018385",Coop,SELMA,"147",AL,-87.014399999999995,32.411000000000001,-0.892883552074702,0.079810167452532,1.976666267103461
"018385",Coop,TALLADEGA,"508",AL,-86.134320000000002,33.417290000000001,1.017327620890220,0.056051248704710,1.399225698065811
"013251",Coop,BAY MINETTE,"271",AL,-87.785200000000003,30.884000000000000,-0.361987049017236,0.062437840199386,2.578414833871890
"013519",Coop,BREWTON 3 ENE,"173",AL,-87.048599999999993,31.141300000000001,-0.680197876646206,0.049743511937511,1.995715043723554
"013519",Coop,ATMORE,"300",AL,-87.438999999999993,31.181999999999999,-0.944951727645079,0.049141656561348,1.662267384306699
"013519",Coop,HEADLAND,"341",AL,-85.367789999999999,31.383070000000000,-0.401969058004357,0.078049627829401,2.247215084746638
"013519",Coop,JACKSON,"220",AL,-87.927700000000002,31.525300000000001,-0.779101671337874,0.038074682297573,1.197516128365370
"013519",Coop,CLAYTON,"569",AL,-85.450100000000006,31.870899999999999,0.330088185418650,0.069192413183467,2.102884308687884
"015121",Coop,TALLAPOOSA WTR PLANT,"177",AL,-86.202340000000007,32.439300000000003,1.422593761055421,0.067532532416376,1.668447694860230
"012124",Coop,DEMOPOLIS LOCK AND DAM,"100",AL,-87.879450000000006,32.519359999999999,-0.163700073793994,0.045940655284105,1.146261823710080
"012124",Coop,OPELIKA,"627",AL,-85.449789999999993,32.659239999999997,0.169851482257305,0.057259328331066,1.456304707155885
"012124",Coop,BILLINGSLEY,"440",AL,-86.724400000000003,32.662399999999998,1.501640909832488,0.048463560542171,1.211706299245785
"012124",Coop,WARRIOR LOCK AND DAM,"110",AL,-87.830560000000006,32.774720000000002,-0.890025669163512,0.043345502402303,1.131895587810144
"015537",Coop,LAFAYETTE 2W,"740",AL,-85.433599999999998,32.906900000000000,0.078535395346284,0.036848322504988,0.940719977199808
"015537",Coop,ALEXANDER CITY,"660",AL,-85.955560000000006,32.935000000000002,0.820354538307554,0.054950409942349,1.463159111943266
"015537",Coop,CALERA,"530",AL,-86.745500000000007,33.094400000000000,0.650274634928023,0.056768350199596,1.427544101390714
"011620",Coop,SYLACAUGA 4 NE,"504",AL,-86.194969999999998,33.205370000000002,0.739613028061448,0.064581392910021,1.647735806306408
